Signal Id,Trades,ProfitTrades,LossTrades,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,AlgoTrading
1833588,929,669.0,260.0,3 135.71,-1 107.94,52 897.68,-35 584.84,0.08,4.80,1.49,18.64,99
1875442,109,63.0,46.0,118.72,-133.94,2 334.27,-921.82,0.31,3.29,2.53,12.96,58
1823061,381,248.0,133.0,51.38,-19.54,1 213.70,-496.15,0.28,14.80,2.45,1.88,100
1515522,2 638,1878.0,760.0,40.04,-57.02,4 062.50,-3 509.78,0.07,2.31,1.16,0.21,98
1757206,268,221.0,47.0,3 586.28,-3 260.40,74 159.49,-44 054.68,0.18,2.53,1.68,112.33,100
1881815,126,98.0,28.0,25.40,-16.31,519.18,-158.17,0.55,7.78,3.28,2.87,82
1891738,219,148.0,71.0,1 552.33,-1 414.59,23 576.33,-11 513.77,0.21,3.79,2.05,55.08,"
1 552.33 USD
                    "
1838059,1 216,1005.0,211.0,646.55,-170.40,19 299.50,-8 890.18,0.18,19.55,2.17,8.56,94
1819456,897,648.0,249.0,1 737.70,-397.84,42 595.31,-16 958.86,0.18,15.68,2.51,28.58,99
1851084,2 653,1730.0,923.0,71.31,-261.89,2 049.48,-2 305.92,-0.00,-0.43,0.89,-0.10,99
1832210,493,378.0,115.0,170.80,-105.60,1 876.54,-1 223.28,0.09,2.49,1.53,1.33,60
1191406,2 707,1483.0,1224.0,2 340.69,-641.01,55 559.20,-37 446.55,0.07,7.38,1.48,6.69,99
1248157,1 686,1194.0,492.0,16.66,-35.86,1 903.56,-1 776.96,0.03,1.00,1.07,0.08,100
1900213,57,26.0,31.0,254.00,-109.00,2 578.78,-1 581.55,0.19,2.77,1.63,17.50,"
254.00 USD
                    "
